ticker,company,cik,fy,revenue,ar,inventory,assets,net_income,cfo,revenue_tag,ar_tag,inventory_tag,assets_tag,net_income_tag,cfo_tag
AAPL,Apple Inc.,0000320193,2025,416161000000,39777000000,5718000000,359241000000,112010000000,111482000000,"RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SalesRevenueNet",AccountsReceivableNetCurrent,InventoryNet,Assets,NetIncomeLoss,"NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations"
AAPL,Apple Inc.,0000320193,2024,391035000000,33410000000,7286000000,364980000000,93736000000,118254000000,"RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SalesRevenueNet",AccountsReceivableNetCurrent,InventoryNet,Assets,NetIncomeLoss,"NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations"
AAPL,Apple Inc.,0000320193,2023,383285000000,29508000000,6331000000,352583000000,96995000000,110543000000,"RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SalesRevenueNet",AccountsReceivableNetCurrent,InventoryNet,Assets,NetIncomeLoss,"NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations"
AAPL,Apple Inc.,0000320193,2022,394328000000,28184000000,4946000000,352755000000,99803000000,122151000000,"RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SalesRevenueNet",AccountsReceivableNetCurrent,InventoryNet,Assets,NetIncomeLoss,"NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations"
AAPL,Apple Inc.,0000320193,2021,365817000000,26278000000,6580000000,351002000000,94680000000,104038000000,"RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SalesRevenueNet",AccountsReceivableNetCurrent,InventoryNet,Assets,NetIncomeLoss,"NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations"
AAPL,Apple Inc.,0000320193,2020,274515000000,16120000000,4061000000,323888000000,57411000000,80674000000,"RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SalesRevenueNet",AccountsReceivableNetCurrent,InventoryNet,Assets,NetIncomeLoss,"NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations"
AAPL,Apple Inc.,0000320193,2019,260174000000,22926000000,4106000000,338516000000,55256000000,69391000000,"RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SalesRevenueNet",AccountsReceivableNetCurrent,InventoryNet,Assets,NetIncomeLoss,"NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations"
AAPL,Apple Inc.,0000320193,2018,265595000000,23186000000,3956000000,365725000000,59531000000,77434000000,"RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SalesRevenueNet",AccountsReceivableNetCurrent,InventoryNet,Assets,NetIncomeLoss,"NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations"
AAPL,Apple Inc.,0000320193,2017,229234000000,17874000000,4855000000,375319000000,48351000000,63598000000,"RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SalesRevenueNet",AccountsReceivableNetCurrent,InventoryNet,Assets,NetIncomeLoss,"NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations"
AAPL,Apple Inc.,0000320193,2016,215639000000,15754000000,2132000000,321686000000,45687000000,65824000000,"RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,SalesRevenueNet",AccountsReceivableNetCurrent,InventoryNet,Assets,NetIncomeLoss,"NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations"
