ticker,company,cik,fy,revenue,ar,inventory,assets,net_income,cfo,avg_assets,dso_days,dso_prior_year_days,dio_days,dio_prior_year_days,accrual_ratio,cash_conversion,ar_gap,inventory_gap,asset_turnover,net_profit_margin,asset_turnover_drop_pct,margin_drop_pts,flag_accrual,flag_cash_conversion,flag_ar_gap,flag_inventory_gap,flag_asset_turnover_drop,flag_margin_drop,risk_score
AAPL,Apple Inc.,320193,2016,2.15639E+11,15754000000,2132000000,3.21686E+11,45687000000,65824000000,,26.6659,,3.6087,,,1.4408,,,,0.2119,,,0,0,0,0,0,0,0
AAPL,Apple Inc.,320193,2017,2.29234E+11,17874000000,4855000000,3.75319E+11,48351000000,63598000000,3.48503E+11,28.46,26.6659,7.7304,3.6087,-0.0438,1.3153,1.7941,4.1217,0.6578,0.2109,,0.001,0,0,0,0,0,0,0
AAPL,Apple Inc.,320193,2018,2.65595E+11,23186000000,3956000000,3.65725E+11,59531000000,77434000000,3.70522E+11,31.8639,28.46,5.4366,7.7304,-0.0483,1.3007,3.4038,-2.2938,0.7168,0.2241,-0.0897,-0.0132,0,0,0,0,0,0,0
AAPL,Apple Inc.,320193,2019,2.60174E+11,22926000000,4106000000,3.38516E+11,55256000000,69391000000,3.52121E+11,32.1631,31.8639,5.7603,5.4366,-0.0401,1.2558,0.2992,0.3237,0.7389,0.2124,-0.0308,0.0117,0,0,0,0,0,0,0
AAPL,Apple Inc.,320193,2020,2.74515E+11,16120000000,4061000000,3.23888E+11,57411000000,80674000000,3.31202E+11,21.4334,32.1631,5.3996,5.7603,-0.0702,1.4052,-10.7296,-0.3608,0.8288,0.2091,-0.1217,0.0033,0,0,0,0,0,0,0
AAPL,Apple Inc.,320193,2021,3.65817E+11,26278000000,6580000000,3.51002E+11,94680000000,1.04038E+11,3.37445E+11,26.2193,21.4334,6.5653,5.3996,-0.0277,1.0988,4.7859,1.1657,1.0841,0.2588,-0.308,-0.0497,0,0,0,0,0,0,0
AAPL,Apple Inc.,320193,2022,3.94328E+11,28184000000,4946000000,3.52755E+11,99803000000,1.22151E+11,3.51879E+11,26.0878,26.2193,4.5781,6.5653,-0.0635,1.2239,-0.1315,-1.9872,1.1206,0.2531,-0.0337,0.0057,0,0,0,0,0,0,0
AAPL,Apple Inc.,320193,2023,3.83285E+11,29508000000,6331000000,3.52583E+11,96995000000,1.10543E+11,3.52669E+11,28.1003,26.0878,6.029,4.5781,-0.0384,1.1397,2.0125,1.4508,1.0868,0.2531,0.0302,0,0,0,0,0,0,0,0
AAPL,Apple Inc.,320193,2024,3.91035E+11,33410000000,7286000000,3.6498E+11,93736000000,1.18254E+11,3.58782E+11,31.1856,28.1003,6.8009,6.029,-0.0683,1.2616,3.0853,0.7719,1.0899,0.2397,-0.0029,0.0134,0,0,0,0,0,0,0
AAPL,Apple Inc.,320193,2025,4.16161E+11,39777000000,5718000000,3.59241E+11,1.1201E+11,1.11482E+11,3.62111E+11,34.887,31.1856,5.0151,6.8009,0.0015,0.9953,3.7014,-1.7858,1.1493,0.2692,-0.0545,-0.0295,0,0,0,0,0,0,0
AMZN,AMAZON COM INC,1018724,2016,1.35987E+11,8339000000,11461000000,83402000000,2371000000,16443000000,,22.3825,,30.7622,,,6.935,,,,0.0174,,,0,0,0,0,0,0,0
AMZN,AMAZON COM INC,1018724,2017,1.77866E+11,13164000000,16047000000,1.3131E+11,3033000000,18434000000,1.07356E+11,27.0139,22.3825,32.9302,30.7622,-0.1435,6.0778,4.6314,2.1679,1.6568,0.0171,,0.0003,0,0,0,0,0,0,0
AMZN,AMAZON COM INC,1018724,2018,2.32887E+11,16677000000,17174000000,1.62648E+11,10073000000,30723000000,1.46979E+11,26.1376,27.0139,26.9165,32.9302,-0.1405,3.05,-0.8763,-6.0136,1.5845,0.0433,0.0436,-0.0262,0,0,0,0,0,0,0
AMZN,AMAZON COM INC,1018724,2019,2.80522E+11,20816000000,20497000000,2.25248E+11,11588000000,38514000000,1.93948E+11,27.0846,26.1376,26.6696,26.9165,-0.1388,3.3236,0.9471,-0.2469,1.4464,0.0413,0.0872,0.002,0,0,0,0,0,0,0
AMZN,AMAZON COM INC,1018724,2020,3.86064E+11,24542000000,23795000000,3.21195E+11,21331000000,66064000000,2.73222E+11,23.203,27.0846,22.4967,26.6696,-0.1637,3.0971,-3.8817,-4.1729,1.413,0.0553,0.0231,-0.014,0,0,0,0,0,0,0
AMZN,AMAZON COM INC,1018724,2021,4.69822E+11,32891000000,32640000000,4.20549E+11,33364000000,46327000000,3.70872E+11,25.5527,23.203,25.3577,22.4967,-0.035,1.3885,2.3497,2.861,1.2668,0.071,0.1035,-0.0157,0,0,0,0,0,0,0
AMZN,AMAZON COM INC,1018724,2022,5.13983E+11,42360000000,34405000000,4.62675E+11,-2722000000,46752000000,4.41612E+11,30.0815,25.5527,24.4324,25.3577,-0.112,-17.1756,4.5289,-0.9253,1.1639,-0.0053,0.0812,0.0763,0,1,0,0,0,1,2
AMZN,AMAZON COM INC,1018724,2023,5.74785E+11,52253000000,33318000000,5.27854E+11,30425000000,84946000000,4.95265E+11,33.1817,30.0815,21.1576,24.4324,-0.1101,2.792,3.1002,-3.2748,1.1606,0.0529,0.0028,-0.0582,0,0,0,0,0,0,0
AMZN,AMAZON COM INC,1018724,2024,6.37959E+11,55451000000,34214000000,6.24894E+11,59248000000,1.15877E+11,5.76374E+11,31.7256,33.1817,19.5751,21.1576,-0.0983,1.9558,-1.4561,-1.5825,1.1068,0.0929,0.0464,-0.04,0,0,0,0,0,0,0
AMZN,AMAZON COM INC,1018724,2025,7.16924E+11,67729000000,38325000000,8.18042E+11,77670000000,1.39514E+11,7.21468E+11,34.4822,31.7256,19.512,19.5751,-0.0857,1.7962,2.7566,-0.0631,0.9937,0.1083,0.1022,-0.0154,0,0,0,0,0,0,0
AVGO,Broadcom Inc.,1730168,2018,20848000000,3325000000,1124000000,50124000000,12259000000,8880000000,,58.213,,19.6786,,,0.7244,,,,0.588,,,0,0,0,0,0,0,0
AVGO,Broadcom Inc.,1730168,2019,22597000000,3259000000,874000000,67493000000,2724000000,9697000000,58808500000,52.6413,58.213,14.1174,19.6786,-0.1186,3.5598,-5.5717,-5.5613,0.3842,0.1205,,0.4675,0,0,0,0,0,1,1
AVGO,Broadcom Inc.,1730168,2020,23888000000,2297000000,1003000000,75933000000,2960000000,12061000000,71713000000,35.0973,52.6413,15.3255,14.1174,-0.1269,4.0747,-17.544,1.2081,0.3331,0.1239,0.133,-0.0034,0,0,0,0,0,0,0
AVGO,Broadcom Inc.,1730168,2021,27450000000,2071000000,1297000000,75570000000,6736000000,13764000000,75751500000,27.5379,35.0973,17.2461,15.3255,-0.0928,2.0433,-7.5594,1.9206,0.3624,0.2454,-0.088,-0.1215,0,0,0,0,0,0,0
AVGO,Broadcom Inc.,1730168,2022,33203000000,2958000000,1925000000,73249000000,11495000000,16736000000,74409500000,32.5172,27.5379,21.1615,17.2461,-0.0704,1.4559,4.9794,3.9154,0.4462,0.3462,-0.2312,-0.1008,0,0,0,0,0,0,0
AVGO,Broadcom Inc.,1730168,2023,35819000000,3154000000,1898000000,72861000000,14082000000,18085000000,73055000000,32.1396,32.5172,19.3409,21.1615,-0.0548,1.2843,-0.3776,-1.8206,0.4903,0.3931,-0.0988,-0.0469,0,0,0,0,0,0,0
AVGO,Broadcom Inc.,1730168,2024,51574000000,4416000000,1760000000,1.65645E+11,5895000000,19962000000,1.19253E+11,31.253,32.1396,12.4559,19.3409,-0.118,3.3863,-0.8867,-6.885,0.4325,0.1143,0.1179,0.2788,0,0,0,0,0,1,1
AVGO,Broadcom Inc.,1730168,2025,63887000000,7145000000,2270000000,1.71092E+11,23126000000,27537000000,1.68369E+11,40.8209,31.253,12.969,12.4559,-0.0262,1.1907,9.5679,0.5131,0.3794,0.362,0.1228,-0.2477,0,0,0,0,0,0,0
COST,COSTCO WHOLESALE CORP /NEW,909832,2016,1.18719E+11,1252000000,8969000000,33163000000,2350000000,3292000000,,3.8493,,27.5751,,,1.4009,,,,0.0198,,,0,0,0,0,0,0,0
COST,COSTCO WHOLESALE CORP /NEW,909832,2017,1.29025E+11,1432000000,9834000000,36347000000,2679000000,6726000000,34755000000,4.051,3.8493,27.8195,27.5751,-0.1164,2.5106,0.2017,0.2444,3.7124,0.0208,,-0.001,0,0,0,0,0,0,0
COST,COSTCO WHOLESALE CORP /NEW,909832,2018,1.41576E+11,1669000000,11040000000,40830000000,3134000000,5774000000,38588500000,4.3029,4.051,28.4625,27.8195,-0.0684,1.8424,0.2519,0.643,3.6689,0.0221,0.0117,-0.0013,0,0,0,0,0,0,0
COST,COSTCO WHOLESALE CORP /NEW,909832,2019,1.52703E+11,1535000000,11395000000,45400000000,3659000000,6356000000,43115000000,3.6691,4.3029,27.237,28.4625,-0.0626,1.7371,-0.6338,-1.2254,3.5418,0.024,0.0346,-0.0019,0,0,0,0,0,0,0
COST,COSTCO WHOLESALE CORP /NEW,909832,2020,1.66761E+11,1550000000,12242000000,55556000000,4002000000,8861000000,50478000000,3.3926,3.6691,26.7948,27.237,-0.0963,2.2141,-0.2765,-0.4422,3.3036,0.024,0.0673,0,0,0,0,0,0,0,0
COST,COSTCO WHOLESALE CORP /NEW,909832,2021,1.95929E+11,1803000000,14215000000,59268000000,5007000000,8958000000,57412000000,3.3588,3.3926,26.4814,26.7948,-0.0688,1.7891,-0.0337,-0.3134,3.4127,0.0256,-0.033,-0.0016,0,0,0,0,0,0,0
COST,COSTCO WHOLESALE CORP /NEW,909832,2022,2.26954E+11,2241000000,17907000000,64166000000,5844000000,7392000000,61717000000,3.6041,3.3588,28.799,26.4814,-0.0251,1.2649,0.2453,2.3176,3.6773,0.0257,-0.0775,-0.0001,0,0,0,0,0,0,0
COST,COSTCO WHOLESALE CORP /NEW,909832,2023,2.4229E+11,2285000000,16651000000,68994000000,6292000000,11068000000,66580000000,3.4423,3.6041,25.0841,28.799,-0.0717,1.7591,-0.1618,-3.715,3.6391,0.026,0.0104,-0.0003,0,0,0,0,0,0,0
COST,COSTCO WHOLESALE CORP /NEW,909832,2024,2.54453E+11,2721000000,18647000000,69831000000,7367000000,11339000000,69412500000,3.9031,3.4423,26.7482,25.0841,-0.0572,1.5392,0.4609,1.6641,3.6658,0.029,-0.0073,-0.003,0,0,0,0,0,0,0
COST,COSTCO WHOLESALE CORP /NEW,909832,2025,2.75235E+11,3203000000,18116000000,77099000000,8099000000,13335000000,73465000000,4.2476,3.9031,24.0243,26.7482,-0.0713,1.6465,0.3445,-2.7238,3.7465,0.0294,-0.022,-0.0004,0,0,0,0,0,0,0
GOOGL,ALPHABET INC.,1652044,2016,90272000000,14137000000,268000000,1.67497E+11,19478000000,36036000000,,57.1606,,1.0836,,,1.8501,,,,0.2158,,,0,0,0,0,0,0,0
GOOGL,ALPHABET INC.,1652044,2017,1.10855E+11,18336000000,749000000,1.97295E+11,12662000000,37091000000,1.82396E+11,60.3729,57.1606,2.4661,1.0836,-0.1339,2.9293,3.2123,1.3825,0.6078,0.1142,,0.1016,0,0,0,0,0,1,1
GOOGL,ALPHABET INC.,1652044,2018,1.36819E+11,20838000000,1107000000,2.32792E+11,30736000000,47971000000,2.15044E+11,55.5907,60.3729,2.9532,2.4661,-0.0801,1.5607,-4.7822,0.4871,0.6362,0.2246,-0.0467,-0.1104,0,0,0,0,0,0,0
GOOGL,ALPHABET INC.,1652044,2019,1.61857E+11,25326000000,999000000,2.75909E+11,34343000000,54520000000,2.54351E+11,57.1121,55.5907,2.2528,2.9532,-0.0793,1.5875,1.5213,-0.7004,0.6364,0.2122,-0.0003,0.0124,0,0,0,0,0,0,0
GOOGL,ALPHABET INC.,1652044,2020,1.82527E+11,30930000000,728000000,3.19616E+11,40269000000,65124000000,2.97763E+11,61.8508,57.1121,1.4558,2.2528,-0.0835,1.6172,4.7388,-0.797,0.613,0.2206,0.0368,-0.0084,0,0,0,0,0,0,0
GOOGL,ALPHABET INC.,1652044,2021,2.57637E+11,39304000000,1170000000,3.59268E+11,76033000000,91652000000,3.39442E+11,55.6828,61.8508,1.6576,1.4558,-0.046,1.2054,-6.168,0.2018,0.759,0.2951,-0.2382,-0.0745,0,0,0,0,0,0,0
GOOGL,ALPHABET INC.,1652044,2022,2.82836E+11,40258000000,2670000000,3.65264E+11,59972000000,91495000000,3.62266E+11,51.953,55.6828,3.4456,1.6576,-0.087,1.5256,-3.7299,1.7881,0.7807,0.212,-0.0286,0.0831,0,0,0,0,0,1,1
GOOGL,ALPHABET INC.,1652044,2023,3.07394E+11,47964000000,,4.02392E+11,73795000000,1.01746E+11,3.83828E+11,56.9525,51.953,,3.4456,-0.0728,1.3788,4.9995,,0.8009,0.2401,-0.0259,-0.0281,0,0,0,0,0,0,0
GOOGL,ALPHABET INC.,1652044,2024,3.50018E+11,52340000000,,4.50256E+11,1.00118E+11,1.25299E+11,4.26324E+11,54.5803,56.9525,,,-0.0591,1.2515,-2.3722,,0.821,0.286,-0.0251,-0.0459,0,0,0,0,0,0,0
GOOGL,ALPHABET INC.,1652044,2025,4.02836E+11,62886000000,,5.95281E+11,1.3217E+11,1.64713E+11,5.22769E+11,56.9795,54.5803,,,-0.0623,1.2462,2.3992,,0.7706,0.3281,0.0614,-0.0421,0,0,0,0,0,0,0
META,"Meta Platforms, Inc.",1326801,2016,27638000000,3993000000,,52262000000,10217000000,16108000000,,52.7334,,,,,1.5766,,,,0.3697,,,0,0,0,0,0,0,0
META,"Meta Platforms, Inc.",1326801,2017,40653000000,5832000000,,84524000000,15934000000,24216000000,68393000000,52.3622,52.7334,,,-0.1211,1.5198,-0.3712,,0.5944,0.392,,-0.0223,0,0,0,0,0,0,0
META,"Meta Platforms, Inc.",1326801,2018,55838000000,7587000000,,97334000000,22112000000,29274000000,90929000000,49.5945,52.3622,,,-0.0788,1.3239,-2.7677,,0.6141,0.396,-0.0331,-0.004,0,0,0,0,0,0,0
META,"Meta Platforms, Inc.",1326801,2019,70697000000,9518000000,,1.33376E+11,18485000000,36314000000,1.15355E+11,49.1403,49.5945,,,-0.1546,1.9645,-0.4542,,0.6129,0.2615,0.002,0.1345,0,0,0,0,0,1,1
META,"Meta Platforms, Inc.",1326801,2020,85965000000,11335000000,,1.59316E+11,29146000000,38747000000,1.46346E+11,48.1274,49.1403,,,-0.0656,1.3294,-1.0128,,0.5874,0.339,0.0416,-0.0775,0,0,0,0,0,0,0
META,"Meta Platforms, Inc.",1326801,2021,1.17929E+11,14039000000,,1.65987E+11,39370000000,57683000000,1.62652E+11,43.4519,48.1274,,,-0.1126,1.4652,-4.6756,,0.725,0.3338,-0.2343,0.0052,0,0,0,0,0,0,0
META,"Meta Platforms, Inc.",1326801,2022,1.16609E+11,13466000000,,1.85727E+11,23200000000,50475000000,1.75857E+11,42.1502,43.4519,,,-0.1551,2.1756,-1.3017,,0.6631,0.199,0.0854,0.1348,0,0,0,0,0,1,1
META,"Meta Platforms, Inc.",1326801,2023,1.34902E+11,16169000000,,2.29623E+11,39098000000,71113000000,2.07675E+11,43.7479,42.1502,,,-0.1542,1.8188,1.5978,,0.6496,0.2898,0.0204,-0.0908,0,0,0,0,0,0,0
META,"Meta Platforms, Inc.",1326801,2024,1.64501E+11,16994000000,,2.76054E+11,62360000000,91328000000,2.52839E+11,37.7068,43.7479,,,-0.1146,1.4645,-6.0411,,0.6506,0.3791,-0.0015,-0.0893,0,0,0,0,0,0,0
META,"Meta Platforms, Inc.",1326801,2025,2.00966E+11,19769000000,,3.66021E+11,60458000000,1.158E+11,3.21038E+11,35.905,37.7068,,,-0.1724,1.9154,-1.8018,,0.626,0.3008,0.0378,0.0783,0,0,0,0,0,1,1
MSFT,MICROSOFT CORPORATION,789019,2016,85320000000,18277000000,2251000000,1.93694E+11,16798000000,33325000000,,78.1892,,9.6298,,,1.9839,,,,0.1969,,,0,0,0,0,0,0,0
MSFT,MICROSOFT CORPORATION,789019,2017,89950000000,19792000000,2181000000,2.41086E+11,21204000000,39507000000,2.1739E+11,80.3122,78.1892,8.8501,9.6298,-0.0842,1.8632,2.1229,-0.7797,0.4138,0.2357,,-0.0388,0,0,0,0,0,0,0
MSFT,MICROSOFT CORPORATION,789019,2018,1.1036E+11,26481000000,2662000000,2.58848E+11,16571000000,43884000000,2.49967E+11,87.5821,80.3122,8.8042,8.8501,-0.1093,2.6482,7.27,-0.0459,0.4415,0.1502,-0.0669,0.0855,0,0,0,0,0,1,1
MSFT,MICROSOFT CORPORATION,789019,2019,1.25843E+11,29524000000,2063000000,2.86556E+11,39240000000,52185000000,2.72702E+11,85.6326,87.5821,5.9836,8.8042,-0.0475,1.3299,-1.9496,-2.8206,0.4615,0.3118,-0.0453,-0.1616,0,0,0,0,0,0,0
MSFT,MICROSOFT CORPORATION,789019,2020,1.43015E+11,32011000000,1895000000,3.01311E+11,44281000000,60675000000,2.93934E+11,81.6978,85.6326,4.8364,5.9836,-0.0558,1.3702,-3.9347,-1.1472,0.4866,0.3096,-0.0544,0.0022,0,0,0,0,0,0,0
MSFT,MICROSOFT CORPORATION,789019,2021,1.68088E+11,38043000000,2636000000,3.33779E+11,61271000000,76740000000,3.17545E+11,82.6097,81.6978,5.724,4.8364,-0.0487,1.2525,0.9118,0.8876,0.5293,0.3645,-0.0878,-0.0549,0,0,0,0,0,0,0
MSFT,MICROSOFT CORPORATION,789019,2022,1.9827E+11,44261000000,3742000000,3.6484E+11,72738000000,89035000000,3.4931E+11,81.4811,82.6097,6.8887,5.724,-0.0467,1.2241,-1.1285,1.1647,0.5676,0.3669,-0.0724,-0.0024,0,0,0,0,0,0,0
MSFT,MICROSOFT CORPORATION,789019,2023,2.11915E+11,48688000000,2500000000,4.11976E+11,72361000000,87582000000,3.88408E+11,83.8597,81.4811,4.306,6.8887,-0.0392,1.2103,2.3785,-2.5828,0.5456,0.3415,0.0388,0.0254,0,0,0,0,0,0,0
MSFT,MICROSOFT CORPORATION,789019,2024,2.45122E+11,56924000000,1246000000,5.12163E+11,88136000000,1.18548E+11,4.6207E+11,84.7629,83.8597,1.8554,4.306,-0.0658,1.3451,0.9033,-2.4506,0.5305,0.3596,0.0277,-0.0181,0,0,0,0,0,0,0
MSFT,MICROSOFT CORPORATION,789019,2025,2.81724E+11,69905000000,938000000,6.19003E+11,1.01832E+11,1.36162E+11,5.65583E+11,90.5685,84.7629,1.2153,1.8554,-0.0607,1.3371,5.8056,-0.6401,0.4981,0.3615,0.0611,-0.0019,0,0,0,0,0,0,0
NVDA,NVIDIA CORP,1045810,2017,6910000000,826000000,794000000,9841000000,1666000000,1672000000,,43.631,,41.9407,,,1.0036,,,,0.2411,,,0,0,0,0,0,0,0
NVDA,NVIDIA CORP,1045810,2018,9714000000,1265000000,796000000,11241000000,3047000000,3502000000,10541000000,47.5319,43.631,29.9094,41.9407,-0.0432,1.1493,3.9009,-12.0313,0.9215,0.3137,,-0.0726,0,0,0,0,0,0,0
NVDA,NVIDIA CORP,1045810,2019,11716000000,1424000000,1575000000,13292000000,4141000000,3743000000,12266500000,44.3633,47.5319,49.0675,29.9094,0.0324,0.9039,-3.1686,19.1581,0.9551,0.3534,-0.0365,-0.0397,0,0,0,0,0,0,0
